x-axis,F1
Hertz,dBV
+2.860000E+03,-46.207944E+00
+2.865000E+03,-45.573150E+00
+2.870000E+03,-44.962206E+00
+2.875000E+03,-44.351262E+00
+2.880000E+03,-43.740318E+00
+2.885000E+03,-43.129374E+00
+2.890000E+03,-42.518430E+00
+2.895000E+03,-41.907486E+00
+2.900000E+03,-41.296542E+00
+2.905000E+03,-40.685598E+00
+2.910000E+03,-40.074654E+00
+2.915000E+03,-39.463710E+00
+2.920000E+03,-38.852766E+00
+2.925000E+03,-38.241822E+00
+2.930000E+03,-37.630878E+00
+2.935000E+03,-37.019934E+00
+2.940000E+03,-36.408990E+00
+2.945000E+03,-35.798046E+00
+2.950000E+03,-35.187102E+00
+2.955000E+03,-34.576158E+00
+2.960000E+03,-34.423179E+00
+2.965000E+03,-34.446603E+00
+2.970000E+03,-34.470027E+00
+2.975000E+03,-34.493451E+00
+2.980000E+03,-34.516875E+00
+2.985000E+03,-34.540299E+00
+2.990000E+03,-34.563723E+00
+2.995000E+03,-34.587147E+00
+3.000000E+03,-34.610571E+00
+3.005000E+03,-34.633995E+00
+3.010000E+03,-34.657419E+00
+3.015000E+03,-34.680843E+00
+3.020000E+03,-34.704267E+00
+3.025000E+03,-34.727691E+00
+3.030000E+03,-34.751115E+00
+3.035000E+03,-34.774539E+00
+3.040000E+03,-34.797963E+00
+3.045000E+03,-34.821387E+00
+3.050000E+03,-34.844811E+00
+3.055000E+03,-35.299171E+00
+3.060000E+03,-35.987171E+00
+3.065000E+03,-36.675171E+00
+3.070000E+03,-37.363171E+00
+3.075000E+03,-38.051171E+00
+3.080000E+03,-38.739171E+00
+3.085000E+03,-39.427171E+00
+3.090000E+03,-40.115171E+00
+3.095000E+03,-40.803171E+00
+3.100000E+03,-41.491171E+00
+3.105000E+03,-42.179171E+00
+3.110000E+03,-42.867171E+00
+3.115000E+03,-43.555171E+00
+3.120000E+03,-44.243171E+00
+3.125000E+03,-44.931171E+00
+3.130000E+03,-45.619171E+00
+3.135000E+03,-46.307171E+00
+3.140000E+03,-46.995171E+00
+3.145000E+03,-47.683171E+00
+3.150000E+03,-48.336122E+00
+3.155000E+03,-48.963162E+00
+3.160000E+03,-49.590202E+00
+3.165000E+03,-50.217242E+00
+3.170000E+03,-50.844282E+00
+3.175000E+03,-51.471322E+00
+3.180000E+03,-52.098362E+00
+3.185000E+03,-52.725402E+00
+3.190000E+03,-53.352442E+00
+3.195000E+03,-53.979482E+00
+3.200000E+03,-54.606522E+00
+3.205000E+03,-55.233562E+00
+3.210000E+03,-55.860602E+00
+3.215000E+03,-56.487642E+00
+3.220000E+03,-57.114682E+00
+3.225000E+03,-57.741722E+00
+3.230000E+03,-58.368762E+00
+3.235000E+03,-58.995802E+00
+3.240000E+03,-59.622842E+00
+3.245000E+03,-59.935444E+00
+3.250000E+03,-59.935444E+00
+3.255000E+03,-59.935444E+00
+3.260000E+03,-59.935444E+00
+3.265000E+03,-59.935444E+00
+3.270000E+03,-59.935444E+00
+3.275000E+03,-59.935444E+00
+3.280000E+03,-59.935444E+00
+3.285000E+03,-59.935444E+00
+3.290000E+03,-59.935444E+00
+3.295000E+03,-59.935444E+00
+3.300000E+03,-59.935444E+00
+3.305000E+03,-59.935444E+00
+3.310000E+03,-59.935444E+00
+3.315000E+03,-59.935444E+00
+3.320000E+03,-59.935444E+00
+3.325000E+03,-59.935444E+00
+3.330000E+03,-59.935444E+00
+3.335000E+03,-59.935444E+00
+3.340000E+03,-59.935444E+00
+3.345000E+03,-59.935444E+00
+3.350000E+03,-59.935444E+00
+3.355000E+03,-59.935444E+00
+3.360000E+03,-59.935444E+00
+3.365000E+03,-59.935444E+00
+3.370000E+03,-59.935444E+00
+3.375000E+03,-59.935444E+00
+3.380000E+03,-59.935444E+00
+3.385000E+03,-59.935444E+00
+3.390000E+03,-59.935444E+00
+3.395000E+03,-59.935444E+00
+3.400000E+03,-59.935444E+00
+3.405000E+03,-59.935444E+00
+3.410000E+03,-59.935444E+00
+3.415000E+03,-59.935444E+00
+3.420000E+03,-59.935444E+00
+3.425000E+03,-59.935444E+00
+3.430000E+03,-59.935444E+00
+3.435000E+03,-59.935444E+00
+3.440000E+03,-59.935444E+00
+3.445000E+03,-59.935444E+00
+3.450000E+03,-59.935444E+00
+3.455000E+03,-59.935444E+00
+3.460000E+03,-59.935444E+00
+3.465000E+03,-59.935444E+00
+3.470000E+03,-59.935444E+00
+3.475000E+03,-59.935444E+00
+3.480000E+03,-59.935444E+00
+3.485000E+03,-59.935444E+00
+3.490000E+03,-59.935444E+00
+3.495000E+03,-59.935444E+00
+3.500000E+03,-59.935444E+00
+3.505000E+03,-59.935444E+00
+3.510000E+03,-59.935444E+00
+3.515000E+03,-59.935444E+00
+3.520000E+03,-59.935444E+00
